"","from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"8935","CRP","DAL","Ameristar Air Cargo",1,56,27,620,352
"8936","DAL","CRP","Ameristar Air Cargo",1,56,24,620,352
"8937","JAN","PIT","Ameristar Air Cargo",1,56,55,620,786
"8938","LAW","JAN","Ameristar Air Cargo",1,56,36,620,506
"8939","LAX","AUS","Ameristar Air Cargo",1,56,47,620,1242
"8940","SCE","COU","Ameristar Air Cargo",1,56,28,620,776
"8941","ABE","JFK","Delta Air Lines Inc.",1,174,142,622,87
"8942","ABQ","ATL","Delta Air Lines Inc.",72,10266,9192,655,1269
"8943","ABQ","MSP","Delta Air Lines Inc.",1,160,142,614,981
"8944","ABQ","MSP","Delta Air Lines Inc.",16,2286,1467,655,981
"8945","ABQ","MSP","Delta Air Lines Inc.",12,1809,1599,656,981
"8946","ABQ","MSP","Delta Air Lines Inc.",13,1924,1612,694,981
"8947","ABQ","SLC","Delta Air Lines Inc.",1,298,258,687,493
"8948","ALB","ATL","Delta Air Lines Inc.",1,160,98,614,852
"8949","ALB","ATL","Delta Air Lines Inc.",16,2272,1877,655,852
"8950","ALB","ATL","Delta Air Lines Inc.",11,1386,1310,698,852
"8951","ALB","BUF","Delta Air Lines Inc.",1,142,105,655,251
"8952","ALB","DTW","Delta Air Lines Inc.",1,110,41,645,488
"8953","ANC","DTW","Delta Air Lines Inc.",1,403,305,819,2986
"8954","ANC","MSP","Delta Air Lines Inc.",15,2400,2226,614,2518
"8955","ANC","MSP","Delta Air Lines Inc.",15,2746,2611,622,2518
"8956","ANC","SLC","Delta Air Lines Inc.",19,3040,2870,614,2125
"8957","ANC","SLC","Delta Air Lines Inc.",12,2196,2154,622,2125
"8958","ATL","ABQ","Delta Air Lines Inc.",71,10130,8932,655,1269
"8959","ATL","ALB","Delta Air Lines Inc.",1,160,64,614,852
"8960","ATL","ALB","Delta Air Lines Inc.",17,2412,1552,655,852
"8961","ATL","ALB","Delta Air Lines Inc.",12,1512,1312,698,852
"8962","ATL","AUS","Delta Air Lines Inc.",1,124,113,612,813
"8963","ATL","AUS","Delta Air Lines Inc.",155,22049,17826,655,813
"8964","ATL","AUS","Delta Air Lines Inc.",1,148,140,694,813
"8965","ATL","AUS","Delta Air Lines Inc.",1,126,111,698,813
"8966","ATL","BDL","Delta Air Lines Inc.",7,1120,903,614,859
"8967","ATL","BDL","Delta Air Lines Inc.",13,2377,2006,622,859
"8968","ATL","BDL","Delta Air Lines Inc.",134,19039,14065,655,859
"8969","ATL","BDL","Delta Air Lines Inc.",13,1924,1680,694,859
"8970","ATL","BDL","Delta Air Lines Inc.",1,126,84,698,859
"8971","ATL","BHM","Delta Air Lines Inc.",2,220,189,645,134
"8972","ATL","BHM","Delta Air Lines Inc.",57,7122,5458,650,134
"8973","ATL","BHM","Delta Air Lines Inc.",18,2563,2050,655,134
"8974","ATL","BHM","Delta Air Lines Inc.",1,126,111,698,134
"8975","ATL","BNA","Delta Air Lines Inc.",10,1240,1093,612,214
"8976","ATL","BNA","Delta Air Lines Inc.",2,320,248,614,214
"8977","ATL","BNA","Delta Air Lines Inc.",12,2197,1530,622,214
"8978","ATL","BNA","Delta Air Lines Inc.",28,3500,2641,650,214
"8979","ATL","BNA","Delta Air Lines Inc.",30,4281,3334,655,214
"8980","ATL","BNA","Delta Air Lines Inc.",30,3780,2825,698,214
"8981","ATL","BOS","Delta Air Lines Inc.",1,124,117,612,946
"8982","ATL","BOS","Delta Air Lines Inc.",1,160,159,614,946
"8983","ATL","BOS","Delta Air Lines Inc.",271,49628,38604,622,946
"8984","ATL","BOS","Delta Air Lines Inc.",1,217,126,626,946
"8985","ATL","BOS","Delta Air Lines Inc.",23,3265,2787,655,946
"8986","ATL","BOS","Delta Air Lines Inc.",2,486,413,696,946
"8987","ATL","BOS","Delta Air Lines Inc.",4,504,398,698,946
"8988","ATL","BUF","Delta Air Lines Inc.",2,248,230,612,712
"8989","ATL","BUF","Delta Air Lines Inc.",1,125,49,650,712
"8990","ATL","BUF","Delta Air Lines Inc.",128,18217,13540,655,712
"8991","ATL","BUF","Delta Air Lines Inc.",10,1476,1374,694,712
"8992","ATL","BUF","Delta Air Lines Inc.",1,126,121,698,712
"8993","ATL","BWI","Delta Air Lines Inc.",2,248,202,612,576
"8994","ATL","BWI","Delta Air Lines Inc.",10,1600,1094,614,576
"8995","ATL","BWI","Delta Air Lines Inc.",101,18481,12363,622,576
"8996","ATL","BWI","Delta Air Lines Inc.",2,524,288,626,576
"8997","ATL","BWI","Delta Air Lines Inc.",2,250,246,650,576
"8998","ATL","BWI","Delta Air Lines Inc.",190,27074,21307,655,576
"8999","ATL","BWI","Delta Air Lines Inc.",1,148,121,694,576
"9000","ATL","BZN","Delta Air Lines Inc.",10,1600,1523,614,1641
"9001","ATL","BZN","Delta Air Lines Inc.",1,148,144,694,1641
"9002","ATL","CAE","Delta Air Lines Inc.",30,4267,2344,655,191
"9003","ATL","CAE","Delta Air Lines Inc.",2,368,138,622,191
"9004","ATL","CHS","Delta Air Lines Inc.",3,372,307,612,259
"9005","ATL","CHS","Delta Air Lines Inc.",13,2080,995,614,259
"9006","ATL","CHS","Delta Air Lines Inc.",1,183,125,622,259
"9007","ATL","CHS","Delta Air Lines Inc.",46,5750,4274,650,259
"9008","ATL","CHS","Delta Air Lines Inc.",97,13802,9626,655,259
"9009","ATL","CHS","Delta Air Lines Inc.",12,1776,522,694,259
"9010","ATL","CHS","Delta Air Lines Inc.",18,2268,1583,698,259
"9011","ATL","CLE","Delta Air Lines Inc.",12,1500,1348,650,554
"9012","ATL","CLE","Delta Air Lines Inc.",1,54,35,698,554
"9013","ATL","CLT","Delta Air Lines Inc.",3,370,267,612,227
"9014","ATL","CLT","Delta Air Lines Inc.",8,1280,1167,614,227
"9015","ATL","CLT","Delta Air Lines Inc.",2,365,296,622,227
"9016","ATL","CLT","Delta Air Lines Inc.",208,29570,22211,655,227
"9017","ATL","CLT","Delta Air Lines Inc.",15,2219,1504,694,227
"9018","ATL","CLT","Delta Air Lines Inc.",32,4032,3456,698,227
"9019","ATL","CLT","Delta Air Lines Inc.",2,368,122,622,227
"9020","ATL","CLT","Delta Air Lines Inc.",2,108,71,698,227
"9021","ATL","CMH","Delta Air Lines Inc.",1,124,106,612,446
"9022","ATL","CMH","Delta Air Lines Inc.",43,6879,4984,614,446
"9023","ATL","CMH","Delta Air Lines Inc.",22,2750,1422,650,446
"9024","ATL","CMH","Delta Air Lines Inc.",115,16364,12852,655,446
"9025","ATL","CMH","Delta Air Lines Inc.",13,1924,1308,694,446
"9026","ATL","COS","Delta Air Lines Inc.",28,4479,3727,614,1185
"9027","ATL","COS","Delta Air Lines Inc.",1,142,136,655,1185
"9028","ATL","CVG","Delta Air Lines Inc.",1,124,98,612,373
"9029","ATL","CVG","Delta Air Lines Inc.",2,250,219,650,373
"9030","ATL","CVG","Delta Air Lines Inc.",88,12531,9887,655,373
"9031","ATL","CVG","Delta Air Lines Inc.",15,2220,1520,694,373
"9032","ATL","CVG","Delta Air Lines Inc.",29,3653,3145,698,373
"9033","ATL","DAB","Delta Air Lines Inc.",40,4998,4163,650,366
"9034","ATL","DAB","Delta Air Lines Inc.",38,5402,4510,655,366
"9035","ATL","DAB","Delta Air Lines Inc.",1,148,125,694,366
"9036","ATL","DAB","Delta Air Lines Inc.",13,1638,1477,698,366
"9037","ATL","DAL","Delta Air Lines Inc.",1,54,36,698,721
"9038","ATL","DAY","Delta Air Lines Inc.",1,124,78,612,432
"9039","ATL","DAY","Delta Air Lines Inc.",1,160,83,614,432
"9040","ATL","DAY","Delta Air Lines Inc.",13,1621,1463,650,432
"9041","ATL","DAY","Delta Air Lines Inc.",128,18218,13629,655,432
"9042","ATL","DAY","Delta Air Lines Inc.",1,150,141,656,432
"9043","ATL","DAY","Delta Air Lines Inc.",1,126,107,698,432
"9044","ATL","DCA","Delta Air Lines Inc.",18,2879,1343,614,547
"9045","ATL","DCA","Delta Air Lines Inc.",107,19581,12126,622,547
"9046","ATL","DCA","Delta Air Lines Inc.",221,31456,23114,655,547
"9047","ATL","DCA","Delta Air Lines Inc.",29,4290,2961,694,547
"9048","ATL","DCA","Delta Air Lines Inc.",48,6047,4638,698,547
"9049","ATL","DEN","Delta Air Lines Inc.",5,800,579,614,1199
"9050","ATL","DEN","Delta Air Lines Inc.",100,18319,17370,622,1199
"9051","ATL","DEN","Delta Air Lines Inc.",40,5680,4964,655,1199
"9052","ATL","DEN","Delta Air Lines Inc.",86,12727,11810,694,1199
"9053","ATL","DEN","Delta Air Lines Inc.",1,126,125,698,1199
"9054","ATL","DFW","Delta Air Lines Inc.",16,2560,1566,614,732
"9055","ATL","DFW","Delta Air Lines Inc.",123,22496,16708,622,732
"9056","ATL","DFW","Delta Air Lines Inc.",2,250,222,650,732
"9057","ATL","DFW","Delta Air Lines Inc.",131,18657,16204,655,732
"9058","ATL","DFW","Delta Air Lines Inc.",43,6364,5453,694,732
"9059","ATL","DFW","Delta Air Lines Inc.",1,126,68,698,732
"9060","ATL","DTW","Delta Air Lines Inc.",3,480,281,614,594
"9061","ATL","DTW","Delta Air Lines Inc.",33,6028,4290,622,594
"9062","ATL","DTW","Delta Air Lines Inc.",41,9177,7187,623,594
"9063","ATL","DTW","Delta Air Lines Inc.",12,2648,1791,626,594
"9064","ATL","DTW","Delta Air Lines Inc.",59,16147,10899,627,594
"9065","ATL","DTW","Delta Air Lines Inc.",1,110,104,645,594
"9066","ATL","DTW","Delta Air Lines Inc.",13,1625,1370,650,594
"9067","ATL","DTW","Delta Air Lines Inc.",90,12808,10841,655,594
"9068","ATL","DTW","Delta Air Lines Inc.",42,6214,5120,694,594
"9069","ATL","DTW","Delta Air Lines Inc.",16,2016,1841,698,594
"9070","ATL","ECP","Delta Air Lines Inc.",1,125,108,650,240
"9071","ATL","ECP","Delta Air Lines Inc.",42,5971,2706,655,240
"9072","ATL","EGE","Delta Air Lines Inc.",14,2564,2148,622,1312
"9073","ATL","ELP","Delta Air Lines Inc.",1,125,53,650,1282
"9074","ATL","ELP","Delta Air Lines Inc.",29,4125,3135,655,1282
"9075","ATL","EWR","Delta Air Lines Inc.",29,3596,2838,612,745
"9076","ATL","EWR","Delta Air Lines Inc.",27,4319,2778,614,745
"9077","ATL","EWR","Delta Air Lines Inc.",2,365,149,622,745
"9078","ATL","EWR","Delta Air Lines Inc.",2,220,137,645,745
"9079","ATL","EWR","Delta Air Lines Inc.",75,9373,7058,650,745
"9080","ATL","EWR","Delta Air Lines Inc.",63,8951,6103,655,745
"9081","ATL","EWR","Delta Air Lines Inc.",13,1924,1284,694,745
"9082","ATL","EWR","Delta Air Lines Inc.",63,7938,6124,698,745
"9083","ATL","EWR","Delta Air Lines Inc.",1,54,35,698,745
"9084","ATL","EYW","Delta Air Lines Inc.",29,3596,3144,612,646
"9085","ATL","EYW","Delta Air Lines Inc.",7,882,766,698,646
"9086","ATL","FLL","Delta Air Lines Inc.",2,248,208,612,581
"9087","ATL","FLL","Delta Air Lines Inc.",20,3200,2790,614,581
"9088","ATL","FLL","Delta Air Lines Inc.",310,56795,50228,622,581
"9089","ATL","FLL","Delta Air Lines Inc.",26,5823,4767,623,581
"9090","ATL","FLL","Delta Air Lines Inc.",1,246,207,624,581
"9091","ATL","FLL","Delta Air Lines Inc.",7,1649,1479,626,581
"9092","ATL","FLL","Delta Air Lines Inc.",12,1703,1420,655,581
"9093","ATL","FLL","Delta Air Lines Inc.",19,2808,2444,694,581
"9094","ATL","FNT","Delta Air Lines Inc.",67,8375,6294,650,644
"9095","ATL","FNT","Delta Air Lines Inc.",1,126,99,698,644
"9096","ATL","GPT","Delta Air Lines Inc.",54,7689,4865,655,352
"9097","ATL","GRR","Delta Air Lines Inc.",1,184,133,622,640
"9098","ATL","GRR","Delta Air Lines Inc.",28,3500,2664,650,640
"9099","ATL","GSO","Delta Air Lines Inc.",15,1875,1573,650,306
"9100","ATL","GSP","Delta Air Lines Inc.",16,2000,1278,650,153
"9101","ATL","GSP","Delta Air Lines Inc.",12,1711,1326,655,153
"9102","ATL","GSP","Delta Air Lines Inc.",1,126,73,698,153
"9103","ATL","HDN","Delta Air Lines Inc.",12,1920,1577,614,1340
"9104","ATL","HNL","Delta Air Lines Inc.",31,9236,8306,687,4502
"9105","ATL","HOU","Delta Air Lines Inc.",13,1625,1159,650,696
"9106","ATL","HOU","Delta Air Lines Inc.",45,6410,3901,655,696
"9107","ATL","HSV","Delta Air Lines Inc.",1,124,110,612,151
"9108","ATL","HSV","Delta Air Lines Inc.",15,2400,1472,614,151
"9109","ATL","HSV","Delta Air Lines Inc.",13,1846,1200,655,151
"9110","ATL","IAD","Delta Air Lines Inc.",25,3100,2344,612,533
"9111","ATL","IAD","Delta Air Lines Inc.",11,1760,845,614,533
"9112","ATL","IAD","Delta Air Lines Inc.",1,110,66,645,533
"9113","ATL","IAD","Delta Air Lines Inc.",21,2625,2197,650,533
"9114","ATL","IAD","Delta Air Lines Inc.",83,11807,8309,655,533
"9115","ATL","IAD","Delta Air Lines Inc.",14,2072,1673,694,533
"9116","ATL","IAD","Delta Air Lines Inc.",29,3654,2860,698,533
"9117","ATL","IAH","Delta Air Lines Inc.",3,372,188,612,689
"9118","ATL","IAH","Delta Air Lines Inc.",1,160,93,614,689
"9119","ATL","IAH","Delta Air Lines Inc.",129,18317,13697,655,689
"9120","ATL","IAH","Delta Air Lines Inc.",1,126,79,698,689
"9121","ATL","IND","Delta Air Lines Inc.",1,124,94,612,432
"9122","ATL","IND","Delta Air Lines Inc.",14,2240,1706,614,432
"9123","ATL","IND","Delta Air Lines Inc.",1,184,167,622,432
"9124","ATL","IND","Delta Air Lines Inc.",1,262,190,626,432
"9125","ATL","IND","Delta Air Lines Inc.",47,5875,5003,650,432
"9126","ATL","IND","Delta Air Lines Inc.",112,15939,12292,655,432
"9127","ATL","IND","Delta Air Lines Inc.",26,3848,2418,694,432
"9128","ATL","IND","Delta Air Lines Inc.",12,1512,1138,698,432
"9129","ATL","JAC","Delta Air Lines Inc.",12,2198,1892,622,1572
"9130","ATL","JAN","Delta Air Lines Inc.",3,375,356,650,341
"9131","ATL","JAN","Delta Air Lines Inc.",16,2271,1508,655,341
"9132","ATL","JAX","Delta Air Lines Inc.",2,320,310,614,270
"9133","ATL","JAX","Delta Air Lines Inc.",232,42492,32525,622,270
"9134","ATL","JAX","Delta Air Lines Inc.",2,448,311,623,270
"9135","ATL","JAX","Delta Air Lines Inc.",2,479,265,626,270
"9136","ATL","JAX","Delta Air Lines Inc.",8,1000,789,650,270
"9137","ATL","JAX","Delta Air Lines Inc.",91,12947,10885,655,270
"9138","ATL","JAX","Delta Air Lines Inc.",12,1776,1646,694,270
"9139","ATL","JAX","Delta Air Lines Inc.",4,504,420,698,270
"9140","ATL","JFK","Delta Air Lines Inc.",12,1488,1401,612,760
"9141","ATL","JFK","Delta Air Lines Inc.",72,11519,8927,614,760
"9142","ATL","JFK","Delta Air Lines Inc.",61,10888,9184,622,760
"9143","ATL","JFK","Delta Air Lines Inc.",38,8226,6884,626,760
"9144","ATL","JFK","Delta Air Lines Inc.",1,142,130,655,760
"9145","ATL","JFK","Delta Air Lines Inc.",2,296,217,694,760
"9146","ATL","JFK","Delta Air Lines Inc.",8,1944,1329,696,760
"9147","ATL","LAS","Delta Air Lines Inc.",3,480,451,614,1747
"9148","ATL","LAS","Delta Air Lines Inc.",101,18548,16687,622,1747
"9149","ATL","LAS","Delta Air Lines Inc.",41,9173,7725,623,1747
"9150","ATL","LAS","Delta Air Lines Inc.",1,246,223,624,1747
"9151","ATL","LAS","Delta Air Lines Inc.",89,23187,20514,626,1747
"9152","ATL","LAS","Delta Air Lines Inc.",3,444,316,694,1747
"9153","ATL","LAX","Delta Air Lines Inc.",1,124,117,612,1946
"9154","ATL","LAX","Delta Air Lines Inc.",5,800,715,614,1946
"9155","ATL","LAX","Delta Air Lines Inc.",152,27901,25447,622,1946
"9156","ATL","LAX","Delta Air Lines Inc.",10,2240,1825,623,1946
"9157","ATL","LAX","Delta Air Lines Inc.",133,34846,31799,626,1946
"9158","ATL","LAX","Delta Air Lines Inc.",4,1192,1025,687,1946
"9159","ATL","LAX","Delta Air Lines Inc.",1,148,138,694,1946
"9160","ATL","LAX","Delta Air Lines Inc.",26,6316,5856,696,1946
"9161","ATL","LBB","Delta Air Lines Inc.",1,184,165,622,1001
"9162","ATL","LGA","Delta Air Lines Inc.",33,5280,4523,614,761
"9163","ATL","LGA","Delta Air Lines Inc.",297,54404,44569,622,761
"9164","ATL","LGA","Delta Air Lines Inc.",1,262,253,626,761
"9165","ATL","LGA","Delta Air Lines Inc.",88,12536,10667,655,761
"9166","ATL","LGA","Delta Air Lines Inc.",3,444,374,694,761
"9167","ATL","LIT","Delta Air Lines Inc.",29,3625,2790,650,453
"9168","ATL","LIT","Delta Air Lines Inc.",17,2412,1391,655,453
"9169","ATL","MCI","Delta Air Lines Inc.",2,248,187,612,692
"9170","ATL","MCI","Delta Air Lines Inc.",27,4320,3121,614,692
"9171","ATL","MCI","Delta Air Lines Inc.",47,8599,6007,622,692
"9172","ATL","MCI","Delta Air Lines Inc.",2,250,172,650,692
"9173","ATL","MCI","Delta Air Lines Inc.",146,20801,15354,655,692
"9174","ATL","MCI","Delta Air Lines Inc.",1,126,98,698,692
"9175","ATL","MCO","Delta Air Lines Inc.",5,620,570,612,403
"9176","ATL","MCO","Delta Air Lines Inc.",12,1920,1695,614,403
"9177","ATL","MCO","Delta Air Lines Inc.",384,70243,63712,622,403
"9178","ATL","MCO","Delta Air Lines Inc.",15,3360,3031,623,403
"9179","ATL","MCO","Delta Air Lines Inc.",29,7193,5829,626,403
"9180","ATL","MCO","Delta Air Lines Inc.",1,271,257,627,403
"9181","ATL","MCO","Delta Air Lines Inc.",24,3414,3123,655,403
"9182","ATL","MCO","Delta Air Lines Inc.",1,298,279,687,403
"9183","ATL","MCO","Delta Air Lines Inc.",9,1332,1184,694,403
"9184","ATL","MCO","Delta Air Lines Inc.",1,54,47,698,403
"9185","ATL","MDW","Delta Air Lines Inc.",2,248,96,612,590
"9186","ATL","MDW","Delta Air Lines Inc.",1,142,75,655,590
"9187","ATL","MDW","Delta Air Lines Inc.",9,1332,969,694,590
"9188","ATL","MDW","Delta Air Lines Inc.",190,23940,17197,698,590
"9189","ATL","MDW","Delta Air Lines Inc.",1,54,39,698,590
"9190","ATL","MEM","Delta Air Lines Inc.",1,160,117,614,332
"9191","ATL","MEM","Delta Air Lines Inc.",141,17625,13743,650,332
"9192","ATL","MEM","Delta Air Lines Inc.",56,7980,6327,655,332
"9193","ATL","MEM","Delta Air Lines Inc.",3,444,322,694,332
"9194","ATL","MEM","Delta Air Lines Inc.",5,630,509,698,332
"9195","ATL","MEM","Delta Air Lines Inc.",1,54,37,698,332
"9196","ATL","MHT","Delta Air Lines Inc.",30,4287,3247,655,952
"9197","ATL","MIA","Delta Air Lines Inc.",3,372,265,612,595
"9198","ATL","MIA","Delta Air Lines Inc.",39,6238,5281,614,595
"9199","ATL","MIA","Delta Air Lines Inc.",187,34264,28417,622,595
"9200","ATL","MIA","Delta Air Lines Inc.",1,262,217,626,595
"9201","ATL","MIA","Delta Air Lines Inc.",66,9385,7789,655,595
"9202","ATL","MIA","Delta Air Lines Inc.",30,4440,3900,694,595
"9203","ATL","MIA","Delta Air Lines Inc.",1,126,123,698,595
"9204","ATL","MIA","Delta Air Lines Inc.",1,142,40,655,595
"9205","ATL","MKE","Delta Air Lines Inc.",1,124,110,612,669
"9206","ATL","MKE","Delta Air Lines Inc.",67,8371,6645,650,669
"9207","ATL","MKE","Delta Air Lines Inc.",70,9961,7288,655,669
"9208","ATL","MKE","Delta Air Lines Inc.",1,148,144,694,669
"9209","ATL","MKE","Delta Air Lines Inc.",10,1260,926,698,669
"9210","ATL","MLB","Delta Air Lines Inc.",1,125,111,650,443
"9211","ATL","MLB","Delta Air Lines Inc.",98,13944,10486,655,443
"9212","ATL","MLB","Delta Air Lines Inc.",1,148,120,694,443
"9213","ATL","MOB","Delta Air Lines Inc.",1,142,138,655,302
"9214","ATL","MSP","Delta Air Lines Inc.",2,248,221,612,906
"9215","ATL","MSP","Delta Air Lines Inc.",33,5280,4627,614,906
"9216","ATL","MSP","Delta Air Lines Inc.",110,20118,16301,622,906
"9217","ATL","MSP","Delta Air Lines Inc.",37,8288,6443,623,906
"9218","ATL","MSP","Delta Air Lines Inc.",8,2006,1264,626,906
"9219","ATL","MSP","Delta Air Lines Inc.",1,125,107,650,906
"9220","ATL","MSP","Delta Air Lines Inc.",96,13674,11396,655,906
"9221","ATL","MSP","Delta Air Lines Inc.",15,2250,2116,656,906
"9222","ATL","MSP","Delta Air Lines Inc.",22,3256,2202,694,906
"9223","ATL","MSP","Delta Air Lines Inc.",2,251,213,698,906
"9224","ATL","MSY","Delta Air Lines Inc.",1,124,87,612,425
"9225","ATL","MSY","Delta Air Lines Inc.",27,4316,2210,614,425
"9226","ATL","MSY","Delta Air Lines Inc.",55,10074,6812,622,425
"9227","ATL","MSY","Delta Air Lines Inc.",1,224,94,623,425
"9228","ATL","MSY","Delta Air Lines Inc.",1,262,218,626,425
"9229","ATL","MSY","Delta Air Lines Inc.",95,11873,9618,650,425
"9230","ATL","MSY","Delta Air Lines Inc.",117,16634,11432,655,425
"9231","ATL","MSY","Delta Air Lines Inc.",13,1920,1426,694,425
"9232","ATL","MSY","Delta Air Lines Inc.",1,126,73,698,425
"9233","ATL","MSY","Delta Air Lines Inc.",1,54,21,698,425
"9234","ATL","MTJ","Delta Air Lines Inc.",13,1853,1416,655,1352
"9235","ATL","OKC","Delta Air Lines Inc.",30,4280,2922,655,761
"9236","ATL","OKC","Delta Air Lines Inc.",1,54,35,698,761
"9237","ATL","OMA","Delta Air Lines Inc.",27,3848,2942,655,821
"9238","ATL","ONT","Delta Air Lines Inc.",24,4394,3840,622,1900
"9239","ATL","ORD","Delta Air Lines Inc.",1,124,106,612,606
"9240","ATL","ORD","Delta Air Lines Inc.",3,480,431,614,606
"9241","ATL","ORD","Delta Air Lines Inc.",45,8246,6172,622,606
"9242","ATL","ORD","Delta Air Lines Inc.",1,110,92,645,606
"9243","ATL","ORD","Delta Air Lines Inc.",31,3871,3250,650,606
"9244","ATL","ORD","Delta Air Lines Inc.",84,11976,9090,655,606
"9245","ATL","ORD","Delta Air Lines Inc.",1,150,128,656,606
"9246","ATL","ORD","Delta Air Lines Inc.",34,5028,3317,694,606
"9247","ATL","ORD","Delta Air Lines Inc.",26,3276,2620,698,606
"9248","ATL","ORF","Delta Air Lines Inc.",2,320,57,614,516
"9249","ATL","ORF","Delta Air Lines Inc.",1,110,98,645,516
"9250","ATL","ORF","Delta Air Lines Inc.",13,1625,1442,650,516
"9251","ATL","ORF","Delta Air Lines Inc.",124,17614,12477,655,516
"9252","ATL","ORF","Delta Air Lines Inc.",16,2368,2161,694,516
"9253","ATL","ORF","Delta Air Lines Inc.",4,503,472,698,516
"9254","ATL","PBI","Delta Air Lines Inc.",1,124,106,612,545
"9255","ATL","PBI","Delta Air Lines Inc.",17,2719,2416,614,545
"9256","ATL","PBI","Delta Air Lines Inc.",227,41505,32686,622,545
"9257","ATL","PBI","Delta Air Lines Inc.",1,262,158,626,545
"9258","ATL","PBI","Delta Air Lines Inc.",43,6112,5186,655,545
"9259","ATL","PBI","Delta Air Lines Inc.",1,148,135,694,545
"9260","ATL","PBI","Delta Air Lines Inc.",1,126,108,698,545
"9261","ATL","PDX","Delta Air Lines Inc.",48,7677,6648,614,2172
"9262","ATL","PDX","Delta Air Lines Inc.",36,6605,6141,622,2172
"9263","ATL","PDX","Delta Air Lines Inc.",1,217,119,626,2172
"9264","ATL","PHF","Delta Air Lines Inc.",1,124,91,612,508
"9265","ATL","PHF","Delta Air Lines Inc.",54,7681,4757,655,508
"9266","ATL","PHL","Delta Air Lines Inc.",20,3199,2796,614,665
"9267","ATL","PHL","Delta Air Lines Inc.",123,22490,16781,622,665
"9268","ATL","PHL","Delta Air Lines Inc.",10,1250,1029,650,665
"9269","ATL","PHL","Delta Air Lines Inc.",134,19037,15845,655,665
"9270","ATL","PHL","Delta Air Lines Inc.",9,1328,1135,694,665
"9271","ATL","PHL","Delta Air Lines Inc.",1,126,110,698,665
"9272","ATL","PHL","Delta Air Lines Inc.",1,160,36,614,665
"9273","ATL","PHX","Delta Air Lines Inc.",2,248,226,612,1587
"9274","ATL","PHX","Delta Air Lines Inc.",5,800,606,614,1587
"9275","ATL","PHX","Delta Air Lines Inc.",152,27899,23307,622,1587
"9276","ATL","PHX","Delta Air Lines Inc.",1,224,218,623,1587
"9277","ATL","PHX","Delta Air Lines Inc.",16,4192,3472,626,1587
"9278","ATL","PHX","Delta Air Lines Inc.",1,148,140,694,1587
"9279","ATL","PIT","Delta Air Lines Inc.",4,496,380,612,526
"9280","ATL","PIT","Delta Air Lines Inc.",3,480,258,614,526
"9281","ATL","PIT","Delta Air Lines Inc.",44,7921,4908,622,526
"9282","ATL","PIT","Delta Air Lines Inc.",14,1750,1506,650,526
"9283","ATL","PIT","Delta Air Lines Inc.",138,19602,14971,655,526
"9284","ATL","PIT","Delta Air Lines Inc.",1,126,107,698,526
"9285","ATL","PNS","Delta Air Lines Inc.",1,110,102,645,272
"9286","ATL","PNS","Delta Air Lines Inc.",76,9498,6798,650,272
"9287","ATL","PNS","Delta Air Lines Inc.",132,18770,14484,655,272
"9288","ATL","PNS","Delta Air Lines Inc.",1,126,101,698,272
"9289","ATL","PTK","Delta Air Lines Inc.",1,54,38,698,625
"9290","ATL","PVD","Delta Air Lines Inc.",83,11807,8838,655,903
"9291","ATL","PWM","Delta Air Lines Inc.",38,5396,4683,655,1027
"9292","ATL","RDU","Delta Air Lines Inc.",36,5760,4583,614,356
"9293","ATL","RDU","Delta Air Lines Inc.",79,14436,10855,622,356
"9294","ATL","RDU","Delta Air Lines Inc.",11,1375,1204,650,356
"9295","ATL","RDU","Delta Air Lines Inc.",149,21204,17397,655,356
"9296","ATL","RDU","Delta Air Lines Inc.",28,4144,3598,694,356
"9297","ATL","RIC","Delta Air Lines Inc.",1,160,141,614,481
"9298","ATL","RIC","Delta Air Lines Inc.",28,5122,2930,622,481
"9299","ATL","RIC","Delta Air Lines Inc.",2,220,160,645,481
"9300","ATL","RIC","Delta Air Lines Inc.",43,5372,3922,650,481
"9301","ATL","RIC","Delta Air Lines Inc.",117,16648,11676,655,481
"9302","ATL","RIC","Delta Air Lines Inc.",16,2368,1465,694,481
"9303","ATL","RIC","Delta Air Lines Inc.",4,504,354,698,481
"9304","ATL","ROC","Delta Air Lines Inc.",42,5971,4978,655,749
"9305","ATL","RSW","Delta Air Lines Inc.",3,372,357,612,515
"9306","ATL","RSW","Delta Air Lines Inc.",7,1120,737,614,515
"9307","ATL","RSW","Delta Air Lines Inc.",142,25984,21335,622,515
"9308","ATL","RSW","Delta Air Lines Inc.",1,224,185,623,515
"9309","ATL","RSW","Delta Air Lines Inc.",1,217,172,626,515
"9310","ATL","RSW","Delta Air Lines Inc.",63,8966,7363,655,515
"9311","ATL","RSW","Delta Air Lines Inc.",1,148,142,694,515
"9312","ATL","RSW","Delta Air Lines Inc.",1,126,109,698,515
"9313","ATL","SAN","Delta Air Lines Inc.",1,124,106,612,1891
"9314","ATL","SAN","Delta Air Lines Inc.",8,1280,1029,614,1891
"9315","ATL","SAN","Delta Air Lines Inc.",121,22221,19912,622,1891
"9316","ATL","SAN","Delta Air Lines Inc.",15,3930,3681,626,1891
"9317","ATL","SAT","Delta Air Lines Inc.",1,124,123,612,874
"9318","ATL","SAT","Delta Air Lines Inc.",40,7319,5697,622,874
"9319","ATL","SAT","Delta Air Lines Inc.",142,20195,17477,655,874
